종목명,분기,기업코드,유동자산,부채총계,청산가치
슈프리마아이디,2021년 1분기 보고서,01231786,38006534825,3539851830,34466682995
휴온스,2021년 1분기 보고서,01159853,260962781057,167349038680,93613742377
케이피에스,2021년 1분기 보고서,01037214,48701005917,26110860628,22590145289
한전KPS,2021년 1분기 보고서,00159218,770464431539,335697316967,434767114572
디아이,2021년 1분기 보고서,00118275,83170739837,91144528733,-7973788896
한솔테크닉스,2021년 1분기 보고서,00157399,206341125851,213948166574,-7607040723
아이쓰리시스템,2021년 1분기 보고서,00612489,66236390383,42243300329,23993090054
고영,2021년 1분기 보고서,00579999,251597286511,67209126357,184388160154
핌스,2021년 1분기 보고서,01405390,37132647294,17492151042,19640496252
연우,2021년 1분기 보고서,00372253,99670541530,64914365440,34756176090
삼양패키징,2021년 1분기 보고서,01060814,140462000000,273852000000,-133390000000
금양,2021년 1분기 보고서,00106119,70268018283,120801851895,-50533833612
사조대림,2021년 1분기 보고서,00109718,280475137941,327704431654,-47229293713
헬릭스미스,2021년 1분기 보고서,00359395,276516620200,116679857422,159836762778
알로이스,2021년 1분기 보고서,01309795,26665826847,6496282569,20169544278
농심홀딩스,2021년 1분기 보고서,00459871,24479332764,14816094894,9663237870
조흥,2021년 1분기 보고서,00149345,132955985514,105320794809,27635190705
서흥,2021년 1분기 보고서,00131692,204917093084,228439978164,-23522885080
남화토건,2021년 1분기 보고서,00108001,60640105372,24468003932,36172101440
서암기계공업,2021년 1분기 보고서,00166528,54154856180,9768050798,44386805382
엔에이치엔,2021년 1분기 보고서,00983271,147040826864,96692717549,50348109315
하나금융15호스팩,2021년 1분기 보고서,01416457,10729672253,1536804486,9192867767
디앤씨미디어,2021년 1분기 보고서,01186404,51250042647,6267096986,44982945661
에스제이케이,2021년 1분기 보고서,00366793,5196451070,46093228483,-40896777413
대호에이엘,2021년 1분기 보고서,00428729,54878262151,78203145523,-23324883372
케이프,2021년 1분기 보고서,00152437,160501088017,15450864000,145050224017
엘엠에스,2021년 1분기 보고서,00494218,106726755463,102495508955,4231246508
제이에스코퍼레이션,2021년 1분기 보고서,00332927,113485612317,121613875378,-8128263061
